service_context_id,service_set,context_set,operation
1,语音信号处理,声音,识别
2,障碍物检测,位置,诊断
3,生理信息监测,年龄,需求
4,生理信息监测,性别,需求
5,生理信息监测,病史,需求
6,生理信息监测,健康状况,需求
7,生理信息监测,偏好,需求
8,生理信息监测,温度,监测
9,生理信息监测,湿度,监测
10,生理信息监测,紧急情况,诊断
11,紧急呼救服务,紧急情况,输出
12,紧急呼救服务,声音,需求
13,紧急呼救服务,通信状况,需求
14,远程通信服务,通信状况,需求
15,修理检测,维修记录,需求
16,更换检测,更换记录,需求
17,升级检测,软件版本,需求
18,电机启动自检,功率,需求
19,芯片启动自检,功率,需求
20,传感器调校,标定,需求
21,电机启动自检,异常状况,诊断
22,芯片启动自检,异常状况,诊断
23,芯片启动自检,通信状况,诊断
24,传感器调校,异常状况,诊断
25,修理检测,异常状况,诊断
26,更换检测,异常状况,诊断
27,升级检测,异常状况,诊断
