structure_relation_id,structure1_set,structure2_set,Connection
1,STM32主控芯片,STM32中继芯片,接收信号
2,STM32中继芯片,STM32主控芯片,接收信号
3,STM32主控芯片,温度传感器,接收信号
4,STM32主控芯片,湿度传感器,接收信号
5,STM32中继芯片,红外测距传感器,接收信号
6,STM32中继芯片,蓝牙通讯模块,接收信号
7,STM32中继芯片,语音识别模块,接收信号
8,语音识别模块,麦克风,接收信号
9,音响,语音识别模块,接收信号
10,蓝牙通讯模块,上位计算机,接收信号
11,上位计算机,蓝牙通讯模块,接收信号
12,按钮开关,STM32主控芯片,控制
13,STM32主控芯片,继电器,控制
14,继电器,LED灯,控制
15,继电器,电动推杆,控制
16,STM32主控芯片,直流无刷伺服驱动器,控制
17,直流无刷伺服驱动器,直流无刷轮毂电机,控制
18,电动推杆,床板,移动
19,电动推杆,背板,移动
20,电动推杆,腿板,移动
21,电动推杆,抬背机构,移动
22,电动推杆,翻身机构,移动
23,电动推杆,抬腿机构,移动
24,电动推杆,床椅分离机构,移动
25,电动推杆,防侧滑机构,移动
26,抬背机构,背板,移动
27,翻身机构,背板,移动
28,翻身机构,床板,移动
29,抬腿机构,腿板,移动
30,24V直流稳压电源,电动推杆,供能
31,24V直流稳压电源,LED灯,供能
32,36V直流稳压电源,直流无刷轮毂电机,供能
33,可调稳压模块,STM32主控芯片,供能
34,可调稳压模块,STM32中继芯片,供能
35,床板,背板,铰接
36,床板,腿板,铰接
37,直流无刷轮毂电机,车轮,转动
